IP,Repo,Path,Filename,Type,Line
app.hubspot.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/client/Agent/components/CallBox.js,CallBox.js,js,245
app.hubspot.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/client/Agent/components/CallBox.js,CallBox.js,js,374
app.hubspot.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/client/Agent/components/CallBox.js,CallBox.js,js,487
app.hubspot.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/client/Agent/components/CallBox.js,CallBox.js,js,2465
app.hubspot.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/client/Agent/components/CallBox.js,CallBox.js,js,2537
app.hubspot.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/client/Agent/components/CallBox.js,CallBox.js,js,2546
app.hubspot.com,integration-manager,/home/long/Documents/internshipProject/integration-manager/route/authorize.js,authorize.js,js,19
gc1.tel4vn.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/client/Admin/components/SipAccount.js,SipAccount.js,js,497
gc1.tel4vn.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/client/Admin/components/SipAccount.js,SipAccount.js,js,895
gc2.tel4vn.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/client/Admin/components/SipAccount.js,SipAccount.js,js,497
gc2.tel4vn.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/client/Admin/components/SipAccount.js,SipAccount.js,js,895
gc2.tel4vn.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/server/route/authenticated/User.js,User.js,js,63
gcalls.zendesk.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/client/Admin/components/Navigation.js,Navigation.js,js,76
gcalls.zendesk.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/client/Agent/components/CallBox.js,CallBox.js,js,2829
gcalls.zendesk.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/client/Agent/components/CallBox.js,CallBox.js,js,2847
gcalls.zendesk.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/client/Agent/components/CallBox.js,CallBox.js,js,2880
gcalls.zendesk.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/client/Agent/components/IndexPage.js,IndexPage.js,js,887
gcalls.zendesk.com,webphone-service,/home/long/Documents/internshipProject/webphone-service/client/Agent/components/IndexPage.js,IndexPage.js,js,1159
